Marca,Model,Volum
MERCEDES-BENZ,ESPRINTER,11
MAXUS,MAXUS E-DELIVER 3,10
MERCEDES-BENZ,EVITO,5
FORD,TRANSIT COURIER,4
RENAULT,"KANGOO EXPRESS Z,E,",3
NISSAN-VOLTIA,NISSAN VOLTIA,3
RENAULT,KANGOO VAN E-TECH ELECTRIC,3
TOYOTA,PROACE,3
TOYOTA,PROACE CITY ELECTRIC,2
FIAT,SCUDO,2
FORD,TRANSIT,2
KIA,PV5,2
MAXUS,MAXUS EDELIVER 9,2
OPEL,COMBO-E CARGO,2
NISSAN,NISSAN E-NV200,2
MAXUS,MAXUS EDELIVER 5,1
PEUGEOT,E-PARTNER,1
CITROEN,JUMPY,1
MAXUS,MAXUS EDELIVER 7,1
NISSAN,E-NV200,1
RENAULT,TRAFIC E-TECH,1
RENAULT,ZOE,1
VOLKSWAGEN,CRAFTER,1
VOLKSWAGEN,TRANSPORTER,1
RENAULT,"KANGOO EXPRES Z,E,",1
OPEL,VIVARO,1
FARIZON,FARIZON SV,1
FARIZON AUTO,V6E,1
CITROEN,E-BERLINGO VAN,1
